replicate,diagnosed_weakness,target_metric,pre_score,post_score,improvement,standardized_improvement,general_improvement,confidence,mixed
0,height_management,stack_height_management,-14.428962937647148,-13.41935715609937,1.0096057815477781,1.2295146496410776,7.0,low/mixed,True
1,hole_management,hole_avoidance,-35.0718649273247,-37.84661442006269,-2.774749492737996,-0.6069660027332443,0.16666666666666785,high,False
2,hole_management,hole_avoidance,-38.81117994207756,-39.3158543616877,-0.50467441961014,-0.11039562885016475,0.6666666666666643,high,False
3,hole_management,hole_avoidance,-39.81194444444444,-38.34594739667203,1.4659970477724116,0.32068133373262947,-0.6666666666666643,moderate,False
4,surface_management,surface_smoothness,-17.20009842009842,-16.259976870998376,0.940121549100045,0.3104444136818775,1.6666666666666643,high,False
5,surface_management,surface_smoothness,-16.59330012077295,-19.27129358296025,-2.6779934621873025,-0.8843198105696931,-0.8333333333333321,moderate,False
6,surface_management,surface_smoothness,-19.39599026881192,-20.36780468592063,-0.9718144171087069,-0.32090994745914775,-1.0,moderate,False
7,surface_management,surface_smoothness,-18.21676991378141,-20.25305996472663,-2.0362900509452224,-0.6724182331072787,-0.6666666666666679,moderate,False
8,surface_management,surface_smoothness,-19.428007068255493,-22.237515262515263,-2.80950819425977,-0.9277482522726304,-0.6666666666666679,moderate,False
9,hole_management,hole_avoidance,-37.09434089971997,-38.14764448514448,-1.0533035854245156,-0.23040619291324255,-1.5,low/mixed,True
10,surface_management,surface_smoothness,-19.989123677248678,-19.1707935660019,0.8183301112467767,0.2702267720885912,-0.16666666666666785,high,False
11,hole_management,hole_avoidance,-37.21954010562706,-37.207635467980296,0.011904637646765082,0.002604094656240372,1.6666666666666679,high,False
12,hole_management,hole_avoidance,-40.30276014109347,-37.32983297022513,2.9729271708683456,0.6503166235516448,0.8333333333333321,low/mixed,True
13,height_management,stack_height_management,-13.827953177091107,-12.83847784035956,0.9894753367315463,1.2049994603882939,2.166666666666668,high,False
14,hole_management,hole_avoidance,-33.70325363493467,-33.99448747614988,-0.29123384121520957,-0.06370630607400041,-1.5,low/mixed,True
15,surface_management,surface_smoothness,-17.765229885057472,-19.412124226348364,-1.646894341290892,-0.5438330274074432,0.33333333333333215,high,False
16,hole_management,hole_avoidance,-38.98426329941161,-39.77300658278919,-0.7887432833775847,-0.1725346230884389,-3.5,low/mixed,True
17,surface_management,surface_smoothness,-17.05014678807782,-17.556710302256278,-0.5065635141784561,-0.16727604350980269,-0.3333333333333357,moderate,False
18,height_management,stack_height_management,-13.409270135994273,-13.412557015143221,-0.0032868791489484295,-0.004002815890214516,2.333333333333332,moderate,False
19,hole_management,hole_avoidance,-38.1475131051744,-39.61073277578654,-1.4632196706121405,-0.3200737929375183,1.3333333333333357,moderate,False
20,surface_management,surface_smoothness,-18.121195596518177,-18.610180152979066,-0.48898455646088834,-0.16147116729247424,0.6666666666666643,low/mixed,True
21,surface_management,surface_smoothness,-18.086084796429624,-20.436053507424475,-2.349968710994851,-0.7760003579897933,0.0,low/mixed,True
22,hole_management,hole_avoidance,-34.5017387718178,-37.60341618364607,-3.1016774118282697,-0.6784802539301389,-1.5,low/mixed,True
23,height_management,stack_height_management,-13.101210092589403,-13.70024132730015,-0.5990312347107469,-0.7295101634029139,1.3333333333333321,low/mixed,True
24,surface_management,surface_smoothness,-17.958943833943835,-18.669401250922988,-0.7104574169791533,-0.2346053406298033,-0.8333333333333321,high,False
25,height_management,stack_height_management,-13.120525767208989,-12.90005333683083,0.2204724303781589,0.26849497887814017,-0.33333333333333215,high,False
26,surface_management,surface_smoothness,-18.426003664834248,-20.43856516671734,-2.0125615018830914,-0.664582655348034,1.3333333333333357,low/mixed,True
27,height_management,stack_height_management,-13.571739130434782,-13.505957892416225,0.06578123801855718,0.08010948163485253,2.0,moderate,False
